region,district,pcod2,name2,pcod1,name1
ASHANTI,KWABRE EAST,fid136,KWABRE EAST,fid001,ASHANTI
ASHANTI,KWABRE EAST (KUMASI METRO),fid136,KWABRE EAST,fid001,ASHANTI
ASHANTI,KWABRE EAST (OFORIKROM),fid136,KWABRE EAST,fid001,ASHANTI
ASHANTI,KWABRE EAST (OLD TAFO),fid136,KWABRE EAST,fid001,ASHANTI
ASHANTI,KWADASO,fid121,KWADASO,fid001,ASHANTI
ASHANTI,KWADASO (ATWIMA KWANWOMA),fid121,KWADASO,fid001,ASHANTI
ASHANTI,KWADASO (KUMASI METRO),fid121,KWADASO,fid001,ASHANTI
ASHANTI,KWADASO (OFORIKROM),fid121,KWADASO,fid001,ASHANTI
ASHANTI,KWADASO MUNICIPAL (KUMASI METRO),fid121,KWADASO,fid001,ASHANTI
ASHANTI,OBUASI EAST,fid255,OBUASI EAST,fid001,ASHANTI
ASHANTI,OBUASI EAST (ADANSI NORTH),fid255,OBUASI EAST,fid001,ASHANTI
ASHANTI,OBUASI MUNICIPAL,fid170,OBUASI MUNICIPAL,fid001,ASHANTI
ASHANTI,OBUASI MUNICIPAL (KUMASI METRO),fid170,OBUASI MUNICIPAL,fid001,ASHANTI
ASHANTI,OBUASI MUNICIPAL (OFORIKROM),fid170,OBUASI MUNICIPAL,fid001,ASHANTI
ASHANTI,OFFINSO MUNICIPAL,fid170,OBUASI MUNICIPAL,fid001,ASHANTI
ASHANTI,OFFINSO NORTH,fid172,OFFINSO NORTH,fid001,ASHANTI
ASHANTI,OFORIKROM,fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OFORIKROM (AHAFO REGION),fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OFORIKROM (ASOKWA MUNICIPAL),fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OFORIKROM (ATWIMA KWANWOMA),fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OFORIKROM (BOSOMTWE),fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OFORIKROM (KUMASI METRO),fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OFORIKROM (KWADASO),fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OFORIKROM (WNR),fid124,OFORIKROM,fid001,ASHANTI
ASHANTI,OLD TAFO,fid127,OLD TAFO,fid001,ASHANTI
ASHANTI,OLD TAFO (BOSOMTWE),fid127,OLD TAFO,fid001,ASHANTI
ASHANTI,OLD TAFO (KUMASI METRO),fid127,OLD TAFO,fid001,ASHANTI
ASHANTI,OLD TAFO (KWADASO),fid127,OLD TAFO,fid001,ASHANTI
ASHANTI,OLD TAFO (OFORIKROM),fid127,OLD TAFO,fid001,ASHANTI
ASHANTI,SEKYERE AFRAM PLAINS,fid184,SEKYERE AFRAM PLAINS,fid001,ASHANTI
ASHANTI,SEKYERE CENTRAL,fid185,SEKYERE CENTRAL,fid001,ASHANTI
ASHANTI,SEKYERE CENTRAL (SEKYERE SOUTH),fid185,SEKYERE CENTRAL,fid001,ASHANTI
ASHANTI,SEKYERE EAST,fid186,SEKYERE EAST,fid001,ASHANTI
ASHANTI,SEKYERE EAST (KUMASI METRO),fid186,SEKYERE EAST,fid001,ASHANTI
ASHANTI,SEKYERE KUMAWU,fid183,SEKYERE KUMAWU,fid001,ASHANTI
ASHANTI,SEKYERE KUMAWU (JUABEN),fid183,SEKYERE KUMAWU,fid001,ASHANTI
ASHANTI,SEKYERE KUMAWU (KUMASI METRO),fid183,SEKYERE KUMAWU,fid001,ASHANTI
ASHANTI,SEKYERE SOUTH,fid187,SEKYERE SOUTH,fid001,ASHANTI
ASHANTI,SEKYERE SOUTH (KUMASI METRO),fid187,SEKYERE SOUTH,fid001,ASHANTI
ASHANTI,SEKYERE SOUTH (SEKYERE CENTRAL),fid187,SEKYERE SOUTH,fid001,ASHANTI
ASHANTI,SUAME,fid125,SUAME,fid001,ASHANTI
ASHANTI,SUAME (KUMASI METRO),fid125,SUAME,fid001,ASHANTI
ASHANTI,SUAME (OFORIKROM),fid125,SUAME,fid001,ASHANTI
